,03660196C,03660356C,03660445B,03660447B,03660501B,03660502B,03660555B,03660598B,03660602B,04240076F,04240106F,04240120C,04240151B,05320003B,05320011B,05320012B,05320093C,05320100B,05320102B,05320108C,05320114C,05320119C,05320132B,05320141B,05320143B,05320146B,05320179B,05320184B,05320188B,05320191B,05320196B,05320205B,05320216B,05320217B,05320220B,05320229B,05320232B,05320234B,05320239B,05320243B,05320286B,05320302B,05320328B,05320353C,05320372C,05320381B,05320384B,05320385B,05320388B,05320393B,05320399C,05320410C,05320420B,05320424B,05320425B,05320435B,05320436B,05320444B,05320446B,05320449B,05320452B,05320459B,05420099C,05420129C,05420135C,05420138C,05420145C,05420159C,05420169C,05420180C,05420199C,05420211C,10A,12A,13A,15A,16A,19A,22A,24A,25A,2A,34A,6A,7A,9A,Pt1-baseline,Pt2-baseline,Pt3-baseline,Pt4-baseline,Pt5-baseline,Pt6-baseline,Pt8-baseline,Pt9-baseline,Pt10-baseline,Pt15-baseline,Pt16-baseline,Pt17-baseline
SNORD87,32.3550903,13.25865101,43.4754634,12.26856945,39.78192388,13.89706773,14.4297494,7.750764777,61.54187606,8.594907634,20.1711699,34.57027656,31.33790965,37.58333505,19.96367852,19.49901987,40.07646805,65.96042422,20.60523241,22.07792665,23.49763321,60.13606485,33.58384672,26.24157829,39.64048518,102.3454505,9.998465073,64.89627607,55.22685028,9.559088935,21.39124351,48.00824319,136.0083928,39.11169714,30.91832969,43.92194291,20.69012539,23.29314258,25.57505323,26.69217831,130.5360488,43.96876731,28.40455189,44.27005418,35.44669113,20.57706072,53.55302726,30.6794344,12.51011902,55.70257619,66.52431337,31.82501791,61.566854,14.45099586,22.05593571,22.68704885,28.30227237,35.96557033,44.68241227,32.76985618,70.83508298,53.56205635,0.0,34.54655115,43.25731322,22.9554059,33.42930319,21.95971004,20.50631484,17.47452715,29.82908626,28.41923364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD38B,15.69357391,9.179488404,6.484564891,7.207043695,20.33647756,11.22507113,17.29601676,10.3429938,20.23048302,8.925891654,16.39864606,19.49563191,14.21293089,18.03854021,11.85680253,2.147718131,18.14062878,27.24452305,12.06602492,30.6614684,18.11701575,18.76071923,6.23442196,3.648048312,8.186621939,18.59166291,8.259601582,13.08787931,15.08375621,12.03297323,8.628107203,14.25424335,31.82759958,19.41927923,13.97127049,9.732810264,15.31727981,14.28284135,14.74298071,12.69548929,25.96545023,10.54510408,10.73545155,6.095152387,10.53534045,16.05408361,27.16928287,15.32635402,10.5497471,23.71650303,12.63330289,9.78770549,12.55791976,6.685156345,9.799056565,9.805666317,14.34533544,8.413646311,16.88942135,15.35356013,20.30292772,24.03536184,95.26934358,13.27746573,19.24154735,14.77279989,15.60876728,13.76827305,22.95693883,6.637001817,44.26809323,15.65117215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4292,0.0,0.214852341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384744196,0.0,0.0,0.229376476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4722,0.375991875,0.0,0.0,0.0,0.241102569,0.0,0.0,0.18880068,0.0,0.0,0.0,0.700624272,1.000706359,0.531905673,0.247914962,0.0,0.0,0.33689464,0.0,1.823828724,0.0,0.0,0.238986175,0.0,0.0,0.150566284,0.0,0.0,0.284365896,0.0,0.190813909,0.528786447,0.191632144,0.0,0.0,0.0,0.0,0.0,0.30275764,0.0,0.0,0.449143322,0.0,0.304757619,0.0,0.0,0.0,0.0,0.0,0.592912576,0.0,0.0,0.0,0.0,0.0,0.0,0.317252611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326706151,0.0,0.0,0.425814188,0.0,0.39772115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222964.5,0.0,0.0,0.0,0.0
SNORD5,47.59130035,24.64915551,76.37983809,18.73337728,50.73062274,32.31226888,22.5341292,24.36304671,105.7916417,31.70192154,46.50027033,105.9574241,55.92988963,106.235407,66.22385972,100.4867298,46.01010162,101.6221914,35.02925239,29.98074614,71.2153535,62.60740998,88.98142795,48.27417355,58.89508157,94.54737625,31.87866775,183.4675196,126.445438,44.07282491,34.81700372,89.96613245,104.8989106,53.79975092,26.20510346,103.3591511,36.3715027,44.2507208,48.02648583,46.52571885,102.2001395,69.95561056,72.33509441,49.34568576,53.59780172,51.994662,147.3252895,63.53139256,33.17109468,127.1919306,107.469604,65.19004736,90.39320327,35.80679631,28.3652485,27.8051086,46.93600267,73.89313687,128.3984114,60.59508879,102.5317716,51.2884091,0.0,39.33332772,62.18295753,49.67723671,74.52405114,35.52428541,21.34904011,26.66165456,213.1349506,73.49823111,0.0,0.0,0.41,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4745,4.366357258,5.572299412,4.996172205,2.50648193,3.733201068,4.542697407,0.0,3.106075711,2.631573095,0.602039613,1.7661393,4.746164421,1.936851017,0.772121138,1.199588526,0.0,0.0,4.23835192,0.319721859,2.353327385,2.240276141,0.0,1.387661662,4.059924734,2.530810546,1.311383765,3.064045748,1.344511671,1.375964012,10.04365105,1.107951731,1.535186458,0.0,1.987289977,1.700636,2.230050929,1.247315861,0.588719267,6.738799073,0.0,0.0,3.042583794,1.706788381,2.654340556,2.413932371,2.364702543,0.795704804,0.0,0.958436537,0.573786364,1.606816404,3.039842515,0.645034588,0.0,1.817566944,1.760122206,3.991242521,2.34089353,0.606331984,0.899317189,1.291153929,0.405288359,0.0,2.342621314,2.447312013,0.94850173,2.672468839,3.727156741,7.417408437,1.10795111,2.694240049,1.105919998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333548098,0.0,0.0,0.186208361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5587,0.0,0.271605789,0.0,0.0,0.272946305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469918005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4712,0.0,0.526650249,0.0,0.0,0.352833028,0.0,0.0,0.0,0.0,0.0,0.222562269,0.0,0.0,0.0,0.0,0.0,0.254411257,0.0,0.0,0.0,0.0,0.0,0.524603799,0.472261414,0.0,0.991534066,0.0,0.084715166,0.416145213,0.0,0.0,0.0,0.0,0.187823138,0.367384781,0.0,0.31436416,0.0,0.0,0.0,0.0,1.31456582,0.258099706,0.44598676,0.0,0.0,0.0,0.0,0.0,0.216919235,0.911182473,0.191534793,0.0,0.0,0.0,0.266164821,0.0,0.0,0.152815378,0.0,0.244059584,0.0,0.0,0.40875006,0.154200554,0.0,0.673549057,0.0,0.0,0.0,0.0,0.209045853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60463.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3189,0.309034418,0.0,0.0,0.425758574,0.0,1.92909068,0.0,0.775893207,0.0,0.0,0.250001453,0.287927783,0.822498377,0.0,1.018828611,0.0,0.285777029,0.0,0.271544592,0.499679102,0.0,0.0,0.0,1.060970847,0.0,1.732543544,0.0,0.095159502,0.0,0.0,0.78416675,0.869237995,0.0,0.843917661,0.412678795,0.0,0.0,0.500008145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349073585,0.0,0.0,0.0,0.215148671,0.0,0.0,0.0,0.0,0.0,0.331359358,0.0,0.0,0.548298244,0.344217511,0.0,0.306095936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
