,logFC,AveExpr,t,P.Value,adj.P.Val,B
GeneID:101927164,0.01809961,0.883654543,0.079354666,0.936961928,0.984247118,-5.328354015
GeneID:101927165,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927166,0.196823172,-6.565781303,0.931626299,0.354519668,0.794126015,-5.036848269
GeneID:101927167,0.174388922,-6.231922946,0.726882002,0.469561514,0.844505781,-5.148242735
GeneID:101927168,0.319175989,-6.347189724,1.278562053,0.204994589,0.794126015,-4.722871723
GeneID:101927169,0.316823854,-5.765869063,1.03265979,0.305082387,0.794126015,-4.905330301
GeneID:101927170,0.130097886,-6.075877877,0.494503652,0.622396272,0.893354697,-5.248149075
GeneID:101927171,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927172,-1.934759451,-4.35293408,-2.961427358,0.004099184,0.443797865,-2.26886092
GeneID:101927174,0.346400531,-6.548803631,1.517811316,0.133267083,0.794126015,-4.47272241
GeneID:101927175,0.023075574,-6.521754567,0.103169624,0.918103779,0.979162663,-5.377128467
GeneID:101927176,0.034118316,-6.245487931,0.13823676,0.89042387,0.971772146,-5.35149801
GeneID:101927178,-0.008678679,4.168974619,-0.066166165,0.947421635,0.986786282,-5.714922731
GeneID:101927179,-0.160426053,2.676458408,-1.206362644,0.231470158,0.794126015,-4.915054789
GeneID:101927180,-0.030500433,-2.89382262,-0.140347675,0.888761629,0.971729442,-5.130111194
GeneID:101927181,-0.079982473,-5.593485307,-0.274047954,0.784801311,0.943504075,-5.273608361
GeneID:101927182,0.001672184,-6.501283301,0.007441357,0.994082473,0.998338742,-5.380065329
GeneID:101927183,-0.103220161,-5.951180798,-0.307546857,0.759279769,0.936193437,-5.297902845
GeneID:101927184,0.210480571,-6.033638392,0.829538455,0.409432913,0.826588278,-5.071268056
GeneID:101927185,0.076785041,0.236923657,0.388993152,0.698383679,0.918202362,-5.216325893
GeneID:101927186,0.658459393,-3.67189602,1.390704881,0.168428574,0.794126015,-4.505495646
GeneID:101927187,0.25455424,-4.594855582,0.702373702,0.484620877,0.848278462,-5.038867908
GeneID:101927188,-0.842651034,0.828515405,-1.635454118,0.106145184,0.775516574,-4.303795635
GeneID:101927189,-1.011018778,-4.324072201,-1.999004017,0.049232276,0.671947191,-3.825484478
GeneID:101927190,-0.09640611,-5.899851839,-0.349380156,0.727783235,0.926563316,-5.283241348
GeneID:101927191,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927192,0.121881376,-6.236958642,0.496635905,0.62089873,0.892888814,-5.259968331
GeneID:101927193,0.535487733,4.688677168,1.010804982,0.315360488,0.794126015,-5.310152954
GeneID:101927195,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927196,-0.020121499,-5.256000055,-0.056930468,0.954752019,0.988132483,-5.269192174
GeneID:101927198,-0.311222782,-4.969585688,-0.864285441,0.390187579,0.815387707,-4.975540008
GeneID:101927199,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927200,0.239306059,-6.587794672,1.142977134,0.256684354,0.794126015,-4.864592084
GeneID:101927201,-0.356107836,-3.550926045,-1.20004713,0.233898895,0.794126015,-4.669745788
GeneID:101927202,0.208334882,-6.531825958,0.874330555,0.384730087,0.812604641,-5.075598161
GeneID:101927204,-0.094889501,-5.517700672,-0.351528892,0.726177507,0.925796906,-5.248032649
GeneID:101927205,0.110412994,-6.565781303,0.508149141,0.612840448,0.890327699,-5.280442964
GeneID:101927206,0.332761133,-5.908876478,1.067146564,0.2893295,0.794126015,-4.888126736
GeneID:101927207,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927208,0.157183089,-5.49078959,0.468800365,0.640572463,0.898146023,-5.206853733
GeneID:101927209,0.266001548,-5.102861201,0.67764634,0.500081602,0.84983121,-5.084857177
GeneID:101927210,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927211,-0.019881705,-5.904642386,-0.074969623,0.940438534,0.984996927,-5.328044421
GeneID:101927212,-0.04117094,-6.128433903,-0.160401184,0.872996398,0.968100374,-5.339547001
GeneID:101927213,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927215,0.014204479,-6.02494486,0.04975212,0.960452212,0.989890825,-5.339807932
GeneID:101927216,0.198649299,-6.565781303,0.914722847,0.363269355,0.798490418,-5.049222005
GeneID:101927217,0.078232713,-6.025280822,0.283461206,0.777604486,0.941996784,-5.308440476
GeneID:101927219,0.220221228,-6.55554567,1.012926425,0.31435274,0.794126015,-4.973456952
GeneID:101927220,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927221,0.143832831,-6.294469457,0.574771318,0.567166536,0.875021005,-5.231155607
GeneID:101927224,0.060582274,-6.533532302,0.284209046,0.777033556,0.941919606,-5.349717371
GeneID:101927225,0.12977307,-6.521754567,0.606320515,0.546133213,0.867678083,-5.233537638
GeneID:101927226,0.087490668,-5.560021065,0.304453813,0.761625547,0.936388441,-5.262673356
GeneID:101927227,0.266228965,-6.18789621,1.022562857,0.30980237,0.794126015,-4.94245769
GeneID:101927228,0.156560762,-6.587794672,0.746850932,0.457489023,0.843938603,-5.161943871
GeneID:101927229,0.201176167,-6.565781303,0.948573949,0.345884582,0.794126015,-5.024221072
GeneID:101927230,0.196745599,-6.565781303,0.909097764,0.366211368,0.800496316,-5.053290803
GeneID:101927232,0.147112799,-6.587794672,0.684259091,0.495921013,0.848846751,-5.197690351
GeneID:101927233,-0.594979821,1.805303925,-1.781546386,0.078872452,0.730755751,-4.151942356
GeneID:101927234,0.153171021,-6.587794672,0.724907385,0.470764983,0.844505781,-5.17482598
GeneID:101927235,0.25816407,-6.543767935,1.158305099,0.250415494,0.794126015,-4.848151542
GeneID:101927237,0.14715686,-6.533532302,0.667171945,0.506710323,0.851301254,-5.203264295
GeneID:101927238,0.215695904,-6.006073355,0.736385971,0.463793474,0.843938603,-5.125540431
GeneID:101927239,0.293775212,-6.565781303,1.381634492,0.171186866,0.794126015,-4.62703053
GeneID:101927241,-0.163114309,-5.918371614,-0.539937018,0.590840466,0.882543478,-5.219350527
GeneID:101927242,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927243,0.366721764,-6.423465462,1.613498298,0.110837241,0.782396579,-4.352617757
GeneID:101927244,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927245,0.34107251,-6.511518934,1.476215019,0.144073551,0.794126015,-4.519407708
GeneID:101927247,-0.282932635,-5.834024901,-1.006465643,0.317428537,0.794126015,-4.935159728
GeneID:101927248,0.139029148,-6.577559038,0.655340424,0.514254202,0.855173299,-5.212605704
GeneID:101927249,0.177227056,-6.413229829,0.755638949,0.452232944,0.843938603,-5.144357933
GeneID:101927250,-0.026426359,-5.661013301,-0.090343959,0.928254787,0.982204909,-5.305735393
GeneID:101927252,0.001155851,-6.256803688,0.004785463,0.996194477,0.998951952,-5.36018143
GeneID:101927253,-1.011726124,-3.517575694,-2.057748577,0.043090671,0.653527661,-3.759012373
GeneID:101927254,0.11277361,-6.565781303,0.530870474,0.597077472,0.884724684,-5.270991685
GeneID:101927255,0.819093148,0.332363983,1.510598746,0.135093603,0.794126015,-4.436958999
GeneID:101927256,0.608667978,0.274564378,1.475189705,0.144348333,0.794126015,-4.472526649
GeneID:101927257,-0.117828739,-4.486652006,-0.424455686,0.672448913,0.908169229,-5.146922717
GeneID:101927258,0.287280187,-5.978118649,0.983626247,0.328462573,0.794126015,-4.95880224
GeneID:101927259,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927260,0.033546238,-5.570784029,0.12066034,0.904282814,0.975388705,-5.293819611
GeneID:101927262,0.180210659,-6.533532302,0.80972284,0.420661678,0.832630442,-5.119116745
GeneID:101927263,0.399901064,-3.377444602,0.834766894,0.40650075,0.825098469,-4.909295286
GeneID:101927266,-0.057390792,1.321327657,-0.368960565,0.71319691,0.922659664,-5.318650345
GeneID:101927267,-0.420718863,-0.798071237,-1.054384648,0.295092519,0.794126015,-4.808322536
GeneID:101927268,0.20691043,-6.477727831,0.915396693,0.362917937,0.798409068,-5.042862271
GeneID:101927269,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927270,-0.037898566,-4.722884766,-0.113812423,0.909690677,0.977071639,-5.222910477
GeneID:101927271,0.221217507,-6.514386307,0.973941793,0.333216989,0.794126015,-5.001440551
GeneID:101927272,0.530280059,-1.389949963,1.408140941,0.163222048,0.794126015,-4.497331691
GeneID:101927273,0.083637979,-6.499741199,0.382702599,0.703022986,0.919326928,-5.320647703
GeneID:101927274,0.247839944,-6.587794672,1.16481891,0.247784748,0.794126015,-4.844745599
GeneID:101927275,0.207070351,-0.611200809,0.847605819,0.399354985,0.820307549,-4.956971666
GeneID:101927276,0.005978457,-6.270913987,0.025192008,0.979968735,0.994857079,-5.360856301
GeneID:101927277,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927278,0.317623545,-6.004882984,1.102118051,0.273935352,0.794126015,-4.864803152
GeneID:101927279,0.203367214,-6.297963051,0.831114474,0.408547717,0.826156348,-5.089128479
GeneID:101927280,0.245771785,-6.587794672,1.159651951,0.249869913,0.794126015,-4.84947303
GeneID:101927281,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927282,0.085645161,-6.55554567,0.388082825,0.699054343,0.918254182,-5.32297657
GeneID:101927283,0.285256586,-6.479269933,1.223477783,0.224980228,0.794126015,-4.783645616
GeneID:101927284,0.115349947,-6.565781303,0.546251615,0.586514705,0.881210396,-5.264361179
GeneID:101927285,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927286,-0.397987605,-4.688676727,-0.706991094,0.481763415,0.847547937,-5.048359925
GeneID:101927287,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927288,-0.043344035,-5.829545661,-0.163222199,0.870782605,0.967546724,-5.313669213
GeneID:101927289,0.362365929,-6.178675347,1.355572757,0.179304183,0.794126015,-4.63568739
GeneID:101927291,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927292,0.254225574,-6.533532302,1.060417257,0.292358609,0.794126015,-4.933173808
GeneID:101927293,-0.078284,-6.123398208,-0.295377554,0.768521857,0.939146128,-5.315321469
GeneID:101927295,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927296,-0.178480617,0.0586351,-0.480333072,0.632388964,0.896613866,-5.170952937
GeneID:101927297,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927299,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927300,-0.081435027,-5.874344877,-0.298651995,0.766031688,0.937962247,-5.293777792
GeneID:101927301,0.468380648,-6.07884414,1.873221766,0.064935042,0.70653649,-4.001296133
GeneID:101927304,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927305,0.03383433,-6.533532302,0.14026714,0.888825037,0.971743395,-5.374240385
GeneID:101927306,0.155297716,-6.587794672,0.738642877,0.462429676,0.843938603,-5.166806655
GeneID:101927308,-0.004175718,-4.565305469,-0.010135906,0.991939775,0.997719515,-5.216136763
GeneID:101927310,0.304069342,-6.511518934,1.355536379,0.179315714,0.794126015,-4.652317459
GeneID:101927311,0.274550001,-6.577559038,1.260113315,0.211536137,0.794126015,-4.753273907
GeneID:101927313,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927314,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927318,-0.036643392,-6.182906745,-0.130246609,0.896720108,0.973209902,-5.347640072
GeneID:101927319,-0.132392793,-5.900592337,-0.492960606,0.623480992,0.893682212,-5.236342559
GeneID:101927320,0.64022576,-4.915359087,1.349126708,0.181356241,0.794126015,-4.580186987
GeneID:101927321,-0.006577244,-5.709652579,-0.024052092,0.980874951,0.994927694,-5.312774531
GeneID:101927322,-0.322030654,-1.572766708,-1.283469652,0.203279981,0.794126015,-4.605225726
GeneID:101927323,-0.388627859,-5.872856699,-1.493552058,0.139488952,0.794126015,-4.475386238
GeneID:101927324,0.149139427,-6.587794672,0.699117164,0.486641799,0.848278462,-5.189483341
GeneID:101927325,-0.347689264,-3.180564435,-1.02576777,0.308298877,0.794126015,-4.790046209
GeneID:101927326,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927328,0.245771785,-6.587794672,1.159651951,0.249869913,0.794126015,-4.84947303
GeneID:101927329,0.247839944,-6.587794672,1.16481891,0.247784748,0.794126015,-4.844745599
GeneID:101927330,-0.677728344,-3.784049727,-2.049071744,0.043954037,0.658267865,-3.76847668
GeneID:101927331,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927332,0.166199549,-6.543767935,0.77087756,0.443201812,0.843938603,-5.144413409
GeneID:101927333,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927334,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927335,0.155182623,-6.587794672,0.737894765,0.46288149,0.843938603,-5.167247241
GeneID:101927337,0.355915813,-5.999847289,1.238278655,0.219475625,0.794126015,-4.742753728
GeneID:101927338,0.120081328,-6.521754567,0.560222204,0.576997868,0.878631415,-5.255003732
GeneID:101927339,-0.060532649,1.931500101,-0.148062333,0.882691016,0.970322226,-5.433020451
GeneID:101927340,-0.513875784,-4.883849445,-1.963557702,0.053289258,0.680892814,-3.868854915
GeneID:101927341,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927342,0.148757682,-6.587794672,0.696694153,0.488148465,0.848397873,-5.190833561
GeneID:101927344,0.156494535,-6.587794672,0.746420676,0.457747253,0.843938603,-5.162200083
GeneID:101927345,0.528780516,-5.098835188,1.502017232,0.137292438,0.794126015,-4.431446672
GeneID:101927346,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927347,0.103089906,-6.565781303,0.474611468,0.636443304,0.89727035,-5.293644084
GeneID:101927348,0.155933246,-6.587794672,0.742773494,0.459939557,0.843938603,-5.164366109
GeneID:101927350,0.147112799,-6.587794672,0.677908687,0.49991618,0.84983121,-5.201145092
GeneID:101927351,0.130696565,-6.533532302,0.5850205,0.560290319,0.8730908,-5.244307689
GeneID:101927352,0.138178473,-5.904180408,0.493230552,0.623291167,0.893682212,-5.234300893
GeneID:101927353,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927354,0.816440078,-5.620926584,2.877259018,0.00522185,0.447240679,-2.338507507
GeneID:101927355,0.181534037,-6.479269933,0.83563554,0.406014845,0.824581124,-5.098631476
GeneID:101927356,0.479112669,-5.621197193,1.644219526,0.104317424,0.773524616,-4.287014193
GeneID:101927357,0.172123814,-6.543767935,0.805275988,0.423206659,0.834218899,-5.122853356
GeneID:101927358,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927359,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927360,-0.042769081,-6.489505566,-0.189439268,0.850260411,0.962317273,-5.364944746
GeneID:101927361,-0.007248221,-6.406487789,-0.031038465,0.975321333,0.993854832,-5.37212536
GeneID:101927362,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927363,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927364,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927365,-0.505869534,-1.2329106,-1.88013,0.063974453,0.705036727,-3.98209532
GeneID:101927366,0.210334405,-6.526790263,0.938601329,0.3509491,0.794126015,-5.029203896
GeneID:101927367,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927369,0.300202886,-6.565781303,1.395267543,0.167054001,0.794126015,-4.612282304
GeneID:101927371,-0.178150152,-0.1717701,-0.821715904,0.413843773,0.829665583,-4.993708565
GeneID:101927372,0.156745131,-0.934298785,0.535423824,0.593941337,0.883910424,-5.093739913
GeneID:101927374,0.298946981,-6.533532302,1.305316031,0.195776477,0.794126015,-4.70556093
GeneID:101927375,0.289523722,-6.367660991,1.255677411,0.213131732,0.794126015,-4.746484781
GeneID:101927376,0.109316963,-6.565781303,0.510458155,0.611230024,0.889812146,-5.279501204
GeneID:101927377,0.335149911,-4.434737804,1.121688679,0.2655741,0.794126015,-4.759849544
GeneID:101927378,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927379,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927380,-0.148865095,1.278090587,-0.809837227,0.420596335,0.832630442,-5.108177729
GeneID:101927381,0.04915828,-6.533532302,0.222756576,0.824330645,0.953372769,-5.362218421
GeneID:101927382,0.234790623,-5.096197636,0.634353916,0.527780546,0.85981979,-5.105868934
GeneID:101927383,0.194953312,-6.565781303,0.89534657,0.373467097,0.805013565,-5.06313455
GeneID:101927385,0.301460064,-4.290631953,0.989773231,0.325468212,0.794126015,-4.850097633
GeneID:101927386,-0.04395045,-2.431225385,-0.111136333,0.911805185,0.977395358,-5.13672204
GeneID:101927387,0.138686677,-6.577559038,0.653167975,0.515645821,0.856086227,-5.213741288
GeneID:101927388,0.151987521,-6.467492198,0.684090218,0.496027029,0.848846751,-5.189364158
GeneID:101927389,0.245146701,-6.587794672,1.158080132,0.250506706,0.794126015,-4.850907151
GeneID:101927391,-0.278828704,-6.031686899,-1.146327785,0.255304592,0.794126015,-4.83203931
GeneID:101927392,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927393,-0.22066856,3.030580696,-0.966547698,0.336877347,0.794126015,-5.172218423
GeneID:101927394,0.337955026,-6.467492198,1.506601261,0.136114398,0.794126015,-4.482507039
GeneID:101927395,0.225666707,-6.436785298,0.954104506,0.34309651,0.794126015,-5.011624578
GeneID:101927396,0.156260025,-6.587794672,0.744896997,0.458662401,0.843938603,-5.163106249
GeneID:101927397,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927398,0.116963917,-6.521754567,0.524286193,0.601625957,0.886286354,-5.270572469
GeneID:101927400,0.281995813,-6.083933759,0.950456405,0.344933947,0.794126015,-4.990467245
GeneID:101927401,-0.475787076,-4.834450625,-1.251015937,0.214817996,0.794126015,-4.673926491
GeneID:101927402,-0.45042299,-2.227368335,-1.444355461,0.152804747,0.794126015,-4.452786809
GeneID:101927403,0.069686209,-6.543767935,0.324395127,0.746542135,0.931870669,-5.340496415
GeneID:101927404,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927405,0.236758956,-6.55554567,1.087055455,0.28049437,0.794126015,-4.9120183
GeneID:101927406,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927407,0.288236437,-6.489505566,1.277626273,0.205322744,0.794126015,-4.731157917
GeneID:101927409,0.155297716,-6.587794672,0.738642877,0.462429676,0.843938603,-5.166806655
GeneID:101927410,0.251012662,-6.587794672,1.17257349,0.244678693,0.794126015,-4.837612925
GeneID:101927411,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927412,0.059190613,-6.543767935,0.267807507,0.789582804,0.944542195,-5.353942455
GeneID:101927413,0.377449026,-6.489505566,1.705802514,0.092184167,0.754941797,-4.23737366
GeneID:101927414,0.122656503,-6.521754567,0.558756762,0.577992642,0.87907637,-5.255658596
GeneID:101927415,0.261509386,-5.424660428,0.966663928,0.336819605,0.794126015,-4.931634938
GeneID:101927416,0.22150312,-6.380980827,0.896564652,0.372820742,0.804639716,-5.050030676
GeneID:101927417,0.347071825,-2.407393127,0.711240671,0.479141858,0.846925425,-4.972274794
GeneID:101927418,0.073739001,-6.297963051,0.292860869,0.770437421,0.939948496,-5.328885781
GeneID:101927419,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927420,0.041267148,-4.709941597,0.128035157,0.898463922,0.973726754,-5.220704795
GeneID:101927421,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927422,0.27057733,-6.334446143,1.01163971,0.314963709,0.794126015,-4.960815398
GeneID:101927423,-0.19350409,-5.369635915,-0.637038097,0.526040258,0.859301175,-5.130713707
GeneID:101927424,0.280014355,-6.577559038,1.239654186,0.218969103,0.794126015,-4.773326141
GeneID:101927426,-0.114397376,-5.445948877,-0.3049884,0.761219954,0.936359499,-5.253683927
GeneID:101927429,0.14811828,-5.511566871,0.515015279,0.608057283,0.888454335,-5.191267364
GeneID:101927430,0.244329777,-6.533532302,1.096460001,0.276386508,0.794126015,-4.902550843
GeneID:101927431,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927432,-0.07469498,-6.292927355,-0.325508881,0.745702554,0.931528331,-5.321514072
GeneID:101927433,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927434,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927435,0.109808366,-6.565781303,0.513341861,0.609221473,0.888685343,-5.278319102
GeneID:101927436,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927437,0.095410136,-1.33056693,0.306082524,0.760390046,0.936359499,-5.143243727
GeneID:101927438,0.009865104,-6.504776895,0.045657362,0.963704727,0.991354374,-5.37947485
GeneID:101927439,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927440,0.255711449,-6.543767935,1.151155371,0.253325904,0.794126015,-4.854640444
GeneID:101927441,0.152176467,-6.587794672,0.718514552,0.474673106,0.846063027,-5.178507901
GeneID:101927442,0.255694414,-6.165092379,0.929118265,0.35580925,0.794126015,-5.011663402
GeneID:101927445,-0.246322602,-5.902737196,-0.933240264,0.353691394,0.794126015,-4.994293888
GeneID:101927446,0.042820635,-5.790027289,0.148502516,0.882344847,0.970192845,-5.311647945
GeneID:101927447,0.155182623,-6.587794672,0.737894765,0.46288149,0.843938603,-5.167247241
GeneID:101927448,0.251012662,-6.587794672,1.17257349,0.244678693,0.794126015,-4.837612925
GeneID:101927449,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927450,0.053397913,-6.526164042,0.241088807,0.810144311,0.948858558,-5.358354856
GeneID:101927451,0.222934608,-5.538367122,0.823868287,0.412627268,0.829167358,-5.036865258
GeneID:101927452,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927454,0.293534557,-6.521754567,1.341144956,0.183921759,0.794126015,-4.66780327
GeneID:101927455,0.250128899,-6.362461053,1.042812276,0.300385755,0.794126015,-4.937206228
GeneID:101927457,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927458,0.14925338,-6.587794672,0.699840709,0.486192384,0.848278462,-5.189079251
GeneID:101927459,-0.118165606,-6.384474421,-0.536612135,0.59312415,0.883546149,-5.256855524
GeneID:101927460,0.147112799,-6.587794672,0.669164591,0.505445658,0.850935328,-5.205850103
GeneID:101927461,0.147112799,-6.587794672,0.670200641,0.504788782,0.850935328,-5.205295771
GeneID:101927464,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927465,0.16412359,-6.455714463,0.750508056,0.455297472,0.843938603,-5.150463035
GeneID:101927466,0.081959811,-6.191632095,0.303429087,0.762403198,0.936492627,-5.317843421
GeneID:101927467,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927468,0.071734703,-6.543767935,0.33541763,0.738246709,0.929675549,-5.337579249
GeneID:101927469,0.238008215,-5.727054741,0.678980165,0.499240872,0.849635795,-5.133918021
GeneID:101927471,0.104010261,-6.467492198,0.475346588,0.635921771,0.89727035,-5.28611726
GeneID:101927472,-0.121530841,-6.100857508,-0.47927349,0.633138941,0.897088853,-5.257891173
GeneID:101927473,0.17649369,-6.55554567,0.792711011,0.430447249,0.838254346,-5.131444868
GeneID:101927474,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927476,-0.016677593,-6.491370859,-0.068527082,0.945548475,0.986361745,-5.377570226
GeneID:101927477,0.190646867,-6.533532302,0.856654794,0.394365213,0.817259248,-5.088070355
GeneID:101927478,0.296603572,-6.565781303,1.38753207,0.169389526,0.794126015,-4.620667228
GeneID:101927479,-0.012876977,-6.353404432,-0.052360248,0.958380892,0.989056548,-5.367029908
GeneID:101927480,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927481,0.235940252,-6.199673945,0.956313178,0.341987175,0.794126015,-4.994287102
GeneID:101927482,-0.032940269,-6.394710054,-0.13379755,0.893921123,0.972510961,-5.364556306
GeneID:101927483,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927484,0.251012662,-6.587794672,1.17257349,0.244678693,0.794126015,-4.837612925
GeneID:101927486,0.348448875,-6.428501157,1.455511964,0.149701685,0.794126015,-4.539317524
GeneID:101927487,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927488,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927489,0.252539659,-6.587794672,1.175364184,0.243567745,0.794126015,-4.835034964
GeneID:101927490,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927491,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927492,-0.12756768,1.690371016,-0.924104226,0.358396404,0.79517989,-5.067294288
GeneID:101927493,0.155933246,-6.587794672,0.742773494,0.459939557,0.843938603,-5.164366109
GeneID:101927494,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927495,0.155002118,-6.543767935,0.688783285,0.493085388,0.848846751,-5.192131394
GeneID:101927496,0.156793819,-6.587794672,0.748364876,0.456581052,0.843938603,-5.161041184
GeneID:101927497,0.086543926,-6.291385253,0.372209268,0.710786946,0.921670128,-5.307213408
GeneID:101927498,-0.192581156,-5.704617556,-0.549383261,0.584374967,0.880916778,-5.197967717
GeneID:101927499,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927501,0.245771785,-6.587794672,1.159651951,0.249869913,0.794126015,-4.84947303
GeneID:101927502,0.112960184,-6.565781303,0.531971791,0.596318232,0.884616923,-5.270523165
GeneID:101927503,0.116133245,-6.477727831,0.507516586,0.613281958,0.890454409,-5.274117767
GeneID:101927504,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927505,0.147417038,-6.587794672,0.688196567,0.493452624,0.848846751,-5.195532353
GeneID:101927506,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:101927507,-0.016259323,-2.447517636,-0.040747443,0.967605542,0.992106767,-5.140100087
GeneID:101927508,0.086677086,-6.548803631,0.400945979,0.689600145,0.914476875,-5.318520707
GeneID:101927509,0.00067726,3.834473934,0.006204895,0.995065721,0.998792722,-5.678869295
GeneID:101927510,0.219123124,-6.2188454,0.787327888,0.433571594,0.839097254,-5.1114194
